15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentPrivateMessageReceivedHighlight: -1
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.entityhiderplugin: false
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.notificationTray: true
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.lockWindowSize: false
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideAttackers: false
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hidePlayers: true
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideClanChatMembers: false
15:08:28.347 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.colorBlindMode: NONE
15:08:28.348 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.defaultSkyColor: DEFAULT
15:08:28.348 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.containInScreen2: RESIZING
15:08:28.348 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaquePublicChatHighlight: -16777216
15:08:28.348 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.notificationTimeout: 10000
15:08:28.348 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaquePrivateMessageReceivedHighlight: -16767101
15:08:28.349 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaqueClanChatMessageHighlight: -16777216
15:08:28.349 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.shadowsEnabled: true
15:08:28.349 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaqueClanChatGuestMessageHighlight: -16777216
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.notificationGameMessage: false
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.uiScalingMode: LINEAR
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.npcLights: true
